Model,Beta,Beta_CI,BIC,P_Value,Param1,Param2,Param3,Param4
gaussian_beta_fixed,1.0,0.0,6416.602723823782,0.716872048873997,0.19347510129225678,1.0,0.3706472991496636,1.0
gaussian,1.0278557313624361,0.09838545768506556,6421.820440448423,0.3598574653152247,0.13949145236813965,1.0278557313624361,0.3703706951824069,1.0
gaussian_delta_fixed_beta_fixed,1.0,0.0,6492.232748737771,0.0019744301866523985,0.18943395591874873,1.0,66.77535677126677,0.5
gaussian_delta_fixed,0.9623158818790932,0.1371544586088952,6496.940240074374,0.0008022910060790222,0.2987132328340675,0.9623158818790932,66.23361391839158,0.5
lognormal_beta_fixed,1.0,0.0,6537.168361225045,1.0707889145567945e-27,0.1982477833056072,1.0,21.85171374809672,1.5698383646321232
lognormal,0.886376383152919,0.1398844638624659,6539.376158670261,1.278598479048207e-26,0.7631543308164832,0.886376383152919,188.42899625177716,1.3578256979820071
lognormal_delta_fixed_beta_fixed,1.0,0.0,6555.14594124447,1.4258604118007862e-38,0.20050558141957647,1.0,0.30874621613745123,2.0
lognormal_delta_fixed,1.0928647615067901,0.20552913944415205,6557.966755998722,1.3760191073001096e-36,0.06730177908585556,1.0928647615067901,0.3054113239594551,2.0
person,0.8671033945512456,0.1173430289922913,189312474.43463206,0.0,0.8671033945512456,,,
person_beta_fixed,1.0,0.0,189374020.5654788,0.0,1.0,,,
