Model,Beta,Beta_CI,BIC,P_Value,Param1,Param2,Param3,Param4
lognormal,0.49133697853299274,0.13915164508556935,6026.986458210955,0.04883491564402983,3243.337852181216,0.49133697853299274,2638.8499548609884,1.0
lognormal_delta_fixed,0.6571709305680083,0.24537734958804414,6037.218294396174,0.007654757049673325,3903.3097094417503,0.6571709305680083,1.4330556662114187,2.0
lognormal_delta_fixed_beta_fixed,1.0,0.0,6047.286954989227,6.815925647628755e-06,5618.290127862161,1.0,1.5350041928482265,2.0
lognormal_beta_fixed,1.0,0.0,6053.016491859726,2.9117322184821216e-06,5588.593106788179,1.0,2.1408344028025783,1.9555970160992902
gaussian_delta_fixed,0.5072831556563201,0.2536576485683521,6321.290114043358,5.366240254933458e-51,3170.188859148536,0.5072831556563201,41.817050772721174,0.5
gaussian,0.4454722876070441,0.21904026911522856,6325.445382708797,1.728884441078109e-49,3010.1552436275683,0.4454722876070441,7.72642625356749,0.7222870287553006
gaussian_delta_fixed_beta_fixed,1.0,0.0,6366.734519371922,3.618178194670269e-55,4474.710088661268,1.0,48.454896586469836,0.5
gaussian_beta_fixed,1.0,0.0,6373.298281186413,2.81232181189578e-55,4258.776816093675,1.0,49.71717220191502,0.5
person,0.45317248275701794,0.14936618235581378,15937230.343011916,0.0,0.45317248275701794,,,
person_beta_fixed,1.0,0.0,16036817.643189218,0.0,1.0,,,
