Model,Beta,Beta_CI,BIC,P_Value,Param1,Param2,Param3,Param4
lognormal,0.6595882248315189,0.09881106534760162,5559.598086987263,0.11360080901900234,1.6959367929015592,0.6595882248315189,25.706165288382103,1.4345534447234083
lognormal_delta_fixed,0.6043714930440212,0.0863180873073283,5565.788348500739,0.10802736712006042,2.971189553487237,0.6043714930440212,0.48841843245156846,2.0
lognormal_beta_fixed,1.0,0.0,5635.724720447055,6.289269395101518e-23,0.05511185347324836,1.0,6.275839562259533,1.6574536371479867
lognormal_delta_fixed_beta_fixed,1.0,0.0,5654.846799121663,3.88641896324916e-18,0.06177322068012198,1.0,0.682739713395789,2.0
gaussian_delta_fixed,0.7250054562688625,0.15117851226311105,5778.958362257722,1.0253393565146355e-48,0.8627250423997104,0.7250054562688625,24.786426966858837,0.5
gaussian,0.7215583117201745,0.14617897880245237,5784.801910291991,6.6641438091210285e-49,0.8945882292907347,0.7215583117201745,23.52602954418876,0.507242196049872
gaussian_delta_fixed_beta_fixed,1.0,0.0,5849.106643053949,2.16669478679338e-59,0.04584881428332621,1.0,30.505355076955194,0.5
gaussian_beta_fixed,1.0,0.0,5854.973111110884,2.166685752421459e-59,0.04584881143583236,1.0,30.505353825242775,0.5
person,0.722246282035185,0.13224973500862186,11222154.146292204,0.0,0.722246282035185,,,
person_beta_fixed,1.0,0.0,11263810.417591754,0.0,1.0,,,
