Model,Beta,Beta_CI,BIC,P_Value,Param1,Param2,Param3,Param4
lognormal,0.4037233906875442,0.1583388665214095,6781.468079141715,0.19932505023853833,9281.220107042354,0.4037233906875442,2419.0626375861993,1.0780993294434928
lognormal_delta_fixed_beta_fixed,1.0,0.0,6819.571230875531,2.6098323262101827e-10,17443.38002449596,1.0,0.9160567108007582,2.0
lognormal_beta_fixed,1.0,0.0,6864.369252630751,7.749283822609089e-27,18948.320293181718,1.0,177.75066463597472,1.429633591337624
gaussian_delta_fixed,0.5654441758189828,0.1686285364156174,7090.260799649122,2.9859326394832857e-52,10717.987254452262,0.5654441758189828,69.587846235297,0.5
gaussian,0.46733505733326147,0.16882016889193455,7093.818232030476,6.254273838467325e-50,9853.730525728728,0.46733505733326147,4.6463596965963365,0.8089369700186356
gaussian_delta_fixed_beta_fixed,1.0,0.0,7132.298179393078,1.3575144892532902e-54,14433.247858168603,1.0,79.79415265294301,0.5
gaussian_beta_fixed,1.0,0.0,7138.165007655797,1.3271709517984808e-54,14422.916429955632,1.0,79.78308662326526,0.5
lognormal_delta_fixed,2.0061830224802155,2.6046723584349043,7225.758402997106,1.6938059089055734e-31,320928.2245700626,2.0061830224802155,29.292201853645537,2.0
person,0.5257937108913888,0.1574894332411785,51525714.809019074,0.0,0.5257937108913888,,,
person_beta_fixed,1.0,0.0,51779875.05399723,0.0,1.0,,,
