Model,Beta,Beta_CI,BIC,P_Value,Param1,Param2,Param3,Param4
gaussian,1.3415535582147025,0.11084590024814905,5728.620720217738,5.101191040021232e-07,0.00018026160465392288,1.3415535582147025,0.5051434986900235,1.0
gaussian_beta_fixed,1.0,0.0,5780.7483962332935,4.4633096097516905e-19,0.010650748955439205,1.0,0.5408398319507814,1.0
lognormal_delta_fixed,1.3277703294387866,0.1507046217767962,5822.612161473974,1.0948534918615101e-23,0.00022634042204437336,1.3277703294387866,0.6227913928150909,2.0
lognormal,1.2962651911978469,0.1280966250784576,5828.172610333047,6.304993061144341e-24,0.0003293780082592524,1.2962651911978469,1.0425300206267294,1.9303752539692476
lognormal_beta_fixed,1.0,0.0,5834.714605573129,4.0371812408532535e-26,0.011658546303547483,1.0,17.35196152663864,1.5634412385741439
gaussian_delta_fixed,1.3207949796884624,0.11178360595772228,5837.391647992299,8.183557633880148e-12,0.00022183036600372392,1.3207949796884624,23.854382443070335,0.5
lognormal_delta_fixed_beta_fixed,1.0,0.0,5840.622014973724,2.0292079940828445e-27,0.011381761914941025,1.0,0.6786375144920119,2.0
gaussian_delta_fixed_beta_fixed,1.0,0.0,5878.322948665546,1.1905116489612687e-24,0.011470234382425788,1.0,23.908139612959975,0.5
person,1.1571723684185602,0.09110584862409601,15656410.086143197,0.0,1.1571723684185602,,,
person_beta_fixed,1.0,0.0,15662858.14568949,0.0,1.0,,,
