Model,Beta,Beta_CI,BIC,P_Value,Param1,Param2,Param3,Param4
lognormal_delta_fixed,1.1976120703881685,0.17671907278813503,6536.019714269379,1.905369005411197e-09,0.016937187914923296,1.1976120703881685,0.45010855148966744,2.0
lognormal_beta_fixed,1.0,0.0,6536.370584907864,5.137461515157224e-12,0.17477974948768316,1.0,14.2001123892036,1.6560784253702177
lognormal,1.1241260772021284,0.16561423294273653,6539.190650481243,7.702560196924966e-10,0.04014935248639402,1.1241260772021284,3.2269614673000366,1.801799915176238
lognormal_delta_fixed_beta_fixed,1.0,0.0,6539.608430000581,8.398174758604565e-11,0.1733940713505059,1.0,0.4669563680446515,2.0
gaussian,1.9934773688160068,0.9640586991398459,6933.714947103826,5.854693121516072e-103,1.5986075483557753e-06,1.9934773688160068,0.8939876922832989,1.0
gaussian_beta_fixed,1.0,0.0,7130.986776279302,1.0262361288731094e-132,0.1776249456223611,1.0,1.307273921104878,1.0
gaussian_delta_fixed,2.3506163876899757,1.3713908668879504,7158.175014905439,4.237655618255829e-125,1e-08,2.3506163876899757,308.91539983794553,0.5
gaussian_delta_fixed_beta_fixed,1.0,0.0,7289.3780299011205,5.56161067029201e-138,0.1889434623550582,1.0,248.073576629468,0.5
person,1.0999701927117425,0.15269369771720565,180924360.4743839,0.0,1.0999701927117425,,,
person_beta_fixed,1.0,0.0,180961184.07038108,0.0,1.0,,,
