Model,Beta,Beta_CI,BIC,P_Value,Param1,Param2,Param3,Param4
lognormal,0.5446562882869409,0.08405659945860165,4051.0753975934817,0.7827226407401728,0.66243566877958,0.5446562882869409,3.1465909737077666,1.5827400475583298
lognormal_delta_fixed,0.5304179476786863,0.10547049560254804,4052.5014996155396,0.3177865609566753,0.7665019992577515,0.5304179476786863,0.3998363509682944,2.0
lognormal_beta_fixed,1.0,0.0,4189.852616799279,1.1604488244727693e-19,0.007311143192874033,1.0,1.4479769784095922,1.8250973932199652
lognormal_delta_fixed_beta_fixed,1.0,0.0,4193.033487318712,2.5761314540228043e-26,0.00783177278854369,1.0,0.6640052759021448,2.0
gaussian_delta_fixed,0.6180112476468249,0.1205350021094835,4229.526286343053,9.294510246595982e-37,0.3115443948345188,0.6180112476468249,7.822073334685148,0.5
gaussian,0.5847027565410616,0.15140491481527169,4233.297657156219,2.389980935121446e-38,0.44045943876602506,0.5847027565410616,4.911963451306538,0.5910503466864769
gaussian_delta_fixed_beta_fixed,1.0,0.0,4360.804084657445,5.905509459926986e-44,0.005398668790766035,1.0,10.798671859607609,0.5
gaussian_beta_fixed,1.0,0.0,4366.670552714315,5.905568167644713e-44,0.0053986695614312834,1.0,10.798672259462638,0.5
person,0.5937350181717801,0.13485879989842917,1341773.6266993931,0.0,0.5937350181717801,,,
person_beta_fixed,1.0,0.0,1351450.295697295,0.0,1.0,,,
