Model,Beta,Beta_CI,BIC,P_Value,Param1,Param2,Param3,Param4
lognormal,0.7867393736677034,0.11913365614750268,5815.3559339292315,2.6083118413626245e-07,0.3109834621202689,0.7867393736677034,9.47567294124997,1.6269506755267624
lognormal_delta_fixed,0.8683244603577097,0.09340810953001459,5817.474562806193,0.00022851005800705447,0.12762953739352112,0.8683244603577097,0.6114120540678062,2.0
lognormal_delta_fixed_beta_fixed,1.0,0.0,5821.057644711468,9.393994894906849e-05,0.03058619746312062,1.0,0.6324064917575976,2.0
lognormal_beta_fixed,1.0,0.0,5826.27743149974,1.2403648906098353e-05,0.03036133669896122,1.0,1.0285939034755633,1.933028882038399
gaussian,0.7727618030468293,0.11465068624890684,5918.00120856224,1.2757536979673726e-27,0.3539133497049738,0.7727618030468293,4.332652265658644,0.7400717045319654
gaussian_delta_fixed,0.8020432530441829,0.16228966176560838,5940.855511010737,4.467589603179736e-16,0.2505342142078357,0.8020432530441829,26.9106122800874,0.5
gaussian_beta_fixed,1.0,0.0,5949.959860360252,1.6306207666713851e-31,0.026783221999022683,1.0,10.318617318035232,0.6388578599014939
gaussian_delta_fixed_beta_fixed,1.0,0.0,5967.799988855536,9.88577199139833e-16,0.024959162219292935,1.0,30.370281397517562,0.5
person,0.7178762328628887,0.14699978102810965,15694370.125681352,0.0,0.7178762328628887,,,
person_beta_fixed,1.0,0.0,15753577.227464365,0.0,1.0,,,
