Model,Beta,Beta_CI,BIC,P_Value,Param1,Param2,Param3,Param4
lognormal_delta_fixed,1.238025921060872,0.06679105962851858,6633.828829316995,0.002694177075265771,0.0037409781788587185,1.238025921060872,0.10729339358369785,2.0
lognormal,1.2651644181149986,0.07537432491275432,6636.9200996280515,0.0611233231816292,0.0027100173992824677,1.2651644181149986,0.018961143170478277,2.1887086123591333
lognormal_delta_fixed_beta_fixed,1.0,0.0,6684.966993225776,2.8699034899465367e-11,0.06413617420569027,1.0,0.12724911787678903,2.0
lognormal_beta_fixed,1.0,0.0,6687.981786176494,8.587332860905209e-14,0.06508763603182027,1.0,0.8958215576340689,1.7878595385493328
gaussian,1.3070799103579904,0.12836161462559317,6764.118665853971,1.1562143942063317e-58,0.00164903632145161,1.3070799103579904,0.3608968184057513,1.0
gaussian_beta_fixed,1.0,0.0,6835.8309755624905,1.1564468934011317e-73,0.06431496470831308,1.0,0.3991798865355178,1.0
gaussian_delta_fixed,1.2530815665591202,0.0961498901019061,6885.336127546345,6.433568137410777e-72,0.003078262852321024,1.2530815665591202,42.267276981624256,0.5
gaussian_delta_fixed_beta_fixed,1.0,0.0,6934.15351721719,7.704905629955622e-79,0.06898393691144006,1.0,43.496081997637894,0.5
person,1.1709027845922602,0.07262846102873953,94726702.45051998,0.0,1.1709027845922602,,,
person_beta_fixed,1.0,0.0,94772694.92370084,0.0,1.0,,,
