Model,Beta,Beta_CI,BIC,P_Value,Param1,Param2,Param3,Param4
lognormal_delta_fixed,0.7506965559758996,0.05929917062312192,6429.294652678394,0.2901039344952269,2.9420435229287216,0.7506965559758996,0.23577577102930886,2.0
lognormal,0.7542343414915473,0.06399310757057076,6433.221412010721,0.5394022403791683,2.838363708701318,0.7542343414915473,1.0546008285540167,1.82395908578993
lognormal_delta_fixed_beta_fixed,1.0,0.0,6496.551536421351,6.90063838223953e-10,0.25261119208290483,1.0,0.2974809646122562,2.0
lognormal_beta_fixed,1.0,0.0,6497.741279157293,4.601608005901313e-08,0.2457758852462624,1.0,0.9119840110428677,1.8639579993078352
gaussian,0.7666651881521173,0.07017346940847718,6557.890034453301,2.721787618852788e-23,2.506373794622532,0.7666651881521173,2.8300104701817688,0.795501001737516
gaussian_delta_fixed,0.804437211547891,0.12299945228525781,6589.212666778952,4.288032966309228e-18,1.6792123266227146,0.804437211547891,37.712442619851856,0.5
gaussian_beta_fixed,1.0,0.0,6611.115217379724,2.2798150370349077e-24,0.2212168253712706,1.0,11.939588358885171,0.6448653636259284
gaussian_delta_fixed_beta_fixed,1.0,0.0,6634.925697776276,4.282784546863883e-20,0.20653441697291533,1.0,43.74605244466523,0.5
person,0.7497011392360695,0.12377758498905177,50683724.23166581,0.0,0.7497011392360695,,,
person_beta_fixed,1.0,0.0,50838943.73391846,0.0,1.0,,,
