Model,Beta,Beta_CI,BIC,P_Value,Param1,Param2,Param3,Param4
gaussian,1.3216780845196796,0.10101273124526491,5736.2769059617285,7.100571241662842e-08,0.0008038926481014031,1.3216780845196796,0.5114809238549752,1.0
gaussian_beta_fixed,1.0,0.0,5784.212219259026,1.8142545143608545e-18,0.027589523701697833,1.0,0.5442717694586031,1.0
lognormal_delta_fixed,1.331416331825462,0.15541176421630545,5813.9244066652645,1.1435418876785568e-22,0.0007665539111541341,1.331416331825462,0.6037596099893356,2.0
lognormal,1.2909950947767654,0.12558251853723124,5819.175360941769,2.825339164929828e-23,0.0011934200917749593,1.2909950947767654,1.2130283161194892,1.9054985754542495
lognormal_beta_fixed,1.0,0.0,5826.31864779912,2.192820188146583e-25,0.030120400860265087,1.0,18.40367266541031,1.5514663910690107
lognormal_delta_fixed_beta_fixed,1.0,0.0,5833.416631356465,2.8079966171457927e-26,0.029370916855258458,1.0,0.661160962482461,2.0
gaussian_delta_fixed,1.3447438883265954,0.1238894769104617,5834.874635173417,5.5329131466514977e-11,0.0005968140471778153,1.3447438883265954,23.85181864025042,0.5
gaussian_delta_fixed_beta_fixed,1.0,0.0,5881.339588085615,7.165020665919188e-24,0.02977911946234943,1.0,24.00060095098036,0.5
person,1.1778762562856815,0.11103525678702984,15655624.148383396,0.0,1.1778762562856815,,,
person_beta_fixed,1.0,0.0,15663430.858030733,0.0,1.0,,,
