Model,Beta,Beta_CI,BIC,P_Value,Param1,Param2,Param3,Param4
lognormal_delta_fixed,0.7068267844958098,0.06267427972853197,6892.724783924941,0.3346606482041603,4.468684218642305,0.7068267844958098,0.23641076071489883,2.0
lognormal,0.7144479226723431,0.07095386402831565,6895.268157482905,0.5534544227869391,4.107156472989668,0.7144479226723431,2.2122721599745248,1.7557562977952745
lognormal_beta_fixed,1.0,0.0,6979.045983089256,1.6856381509138086e-13,0.18246014224088034,1.0,1.2403036552179996,1.8459529387023013
lognormal_delta_fixed_beta_fixed,1.0,0.0,6980.11820860277,2.818178346690889e-13,0.18901173992381154,1.0,0.3183504287882191,2.0
gaussian,0.7294790267616704,0.09583991703730203,7005.131021017962,2.460829238837782e-23,3.4749180901840533,0.7294790267616704,6.22074123516173,0.7223145486828803
gaussian_delta_fixed,0.7586065483601263,0.11592288573337312,7020.622358856808,3.799144714501951e-15,2.4849538176671446,0.7586065483601263,49.97009475994956,0.5
gaussian_beta_fixed,1.0,0.0,7084.499298007594,9.620042415980546e-27,0.1584706447892689,1.0,24.167967418889443,0.596915570426805
gaussian_delta_fixed_beta_fixed,1.0,0.0,7093.700477931437,5.2101218146217946e-24,0.15010863995773677,1.0,61.01777839214363,0.5
person,0.7156739520691152,0.12366949553795523,95018525.30608404,0.0,0.7156739520691152,,,
person_beta_fixed,1.0,0.0,95379733.74926986,0.0,1.0,,,
