Model,Beta,Beta_CI,BIC,P_Value,Param1,Param2,Param3,Param4
lognormal_delta_fixed,0.15743490712345506,0.1993638632599326,4224.972246644128,0.2879519372628662,194.99489703957846,0.15743490712345506,0.7302424261073917,2.0
lognormal,0.15014977100047047,0.14882365494050978,4230.57958261148,0.39834147615178894,193.5405404059866,0.15014977100047047,4.580289304164537,1.6408288178052604
lognormal_delta_fixed_beta_fixed,1.0,0.0,4350.840316628352,6.2439808466454116e-18,513.7047383294749,1.0,1.217255668267298,2.0
lognormal_beta_fixed,1.0,0.0,4353.384746227604,1.3995057331438524e-24,541.9432177958168,1.0,0.42736844740621655,2.2061576263389417
gaussian_delta_fixed,0.31067166209178254,0.2516391275092799,4531.560408937933,1.6380014494542437e-56,225.77733686725972,0.31067166209178254,11.254004707895488,0.5
gaussian,0.22037415217440173,0.2235556269982143,4532.976168394032,8.326515337830344e-54,208.34599252637096,0.22037415217440173,0.8608754231198581,1.0
gaussian_delta_fixed_beta_fixed,1.0,0.0,4658.29537986237,1.5679122354548124e-68,377.27598118007165,1.0,14.840441917574914,0.5
gaussian_beta_fixed,1.0,0.0,4664.161847919592,1.5678845258133224e-68,377.27577930913856,1.0,14.840455233753266,0.5
person,0.22889629928656385,0.1876386116753103,1357172.5947091514,0.0,0.22889629928656385,,,
person_beta_fixed,1.0,0.0,1371917.683798419,0.0,1.0,,,
