Model,Beta,Beta_CI,BIC,P_Value,Param1,Param2,Param3,Param4
lognormal,0.3219672927779145,0.1629524194394885,7223.178319502526,0.2884398806429932,16124.296807280232,0.3219672927779145,1351.2032996863916,1.1936800547962718
lognormal_delta_fixed_beta_fixed,1.0,0.0,7287.341124781123,2.4778881487925505e-13,33748.867863854684,1.0,0.9345817738900177,2.0
lognormal_beta_fixed,1.0,0.0,7289.52096726426,9.540250251921777e-19,35157.87160889447,1.0,0.11062401163918055,2.2286710186185066
gaussian_delta_fixed,0.4857761836204924,0.1669131272843552,7507.4673530617665,9.96911951390164e-49,18730.3954493168,0.4857761836204924,91.33082537412871,0.5
gaussian,0.38111299692688166,0.19946099475765508,7509.932390758186,3.3262733276887553e-46,17144.121509738045,0.38111299692688166,2.0702062034973374,0.9028686142395579
gaussian_delta_fixed_beta_fixed,1.0,0.0,7571.692134581023,3.0367201398311286e-52,26912.610293376136,1.0,108.88478446643734,0.5
gaussian_beta_fixed,1.0,0.0,7577.55937681619,3.1221125418930924e-52,26951.01421030834,1.0,108.81499140573925,0.5
lognormal_delta_fixed,1.9439762499582431,2.841712985288973,7703.290604168375,9.348841906692276e-33,655822.4147792858,1.9439762499582431,36.342545777226896,2.0
person,0.4343099344161049,0.15228000652589838,96493583.08830282,0.0,0.4343099344161049,,,
person_beta_fixed,1.0,0.0,97126758.27119884,0.0,1.0,,,
