Location,Attractiveness,c_in,c_stay + c_out,Population,Criminal Damage and Arson,Crimes Of Dishonesty,Sexual Offences,Violence,Other,Total
Daventry and South Northamptonshire,0.47242858,31288,66228,163032,1286,4257,88,1377,493,7501
Denbighshire,0.357999817,11727,32757,93734,1314,2951,138,1580,798,6781
Derby,0.428244776,41765,97526,248752,3674,11371,320,4559,2021,21945
Derbyshire Dales,0.50723968,13172,25968,71116,412,1423,36,450,249,2570
Doncaster,0.236039548,26524,112371,302402,4710,15451,193,3416,1820,25590
Dorset,0.41345305,60415,146123,412905,3760,10100,221,2934,1470,18485
Dover,0.245165254,9977,40695,111674,1575,2868,93,1287,452,6275
Dudley,0.320314885,38818,121187,312925,2947,8339,240,2572,1339,15437
Dumfries and Galloway,0.056618105,2907,51344,151324,1649,2296,150,127,1814,6036
Dundee City,0.434807726,22580,51931,147268,2184,4920,232,276,2208,9820
Ealing,0.4898896,63499,129619,338449,3031,17381,387,7219,4557,32575
East Ayrshire,0.254095919,11089,43641,122767,2031,3478,130,211,1606,7456
East Cambridgeshire,0.236721651,8223,34737,83818,504,2171,45,416,466,3602
East and Mid Devon,0.247677255,18074,72974,210207,1503,3580,210,1516,809,7618
East Dunbartonshire,0.253287197,10248,40460,105026,1016,2128,67,106,596,3913
East Hampshire,0.34819223,15505,44530,115608,996,3035,74,842,521,5468
East Hertfordshire,0.38463543,22140,57561,137687,1111,3218,68,859,874,6130
East Lindsey,0.19446114,8412,43258,136401,1644,4397,143,1328,881,8393
East Lothian,0.197521013,7426,37596,99717,1057,1940,95,98,666,3856
East Northamptonshire,0.28805983,10053,34899,86765,1013,2170,48,740,264,4235
East Renfrewshire,0.222713264,7660,34394,90574,817,1468,45,93,528,2951
East Riding of Yorkshire,0.235367353,30248,128514,334179,3112,8031,334,2943,1937,16357
East Staffordshire,0.509462032,23287,45709,113583,1056,3049,85,1180,788,6158
Eastbourne,0.341658617,12380,36235,99412,1121,3428,100,1343,898,6890
Eastleigh,0.601295696,32485,54025,125199,1065,3501,104,1225,719,6614
Eden,0.326847848,6350,19428,52564,387,846,50,285,366,1934
Eilean Siar,0.027032826,252,9322,27684,192,299,64,26,197,778
"Elmbridge, Surrey",0.545889333,27051,49554,130875,1181,3678,67,1012,607,6545
Enfield,0.375032837,41401,110393,312466,2575,12895,271,4681,2506,22928
Epping Forest,0.44827299,21531,48031,124659,1087,4650,77,1358,654,7826
Epsom and Ewell,0.500098477,15235,30464,75102,655,2203,51,797,461,4167
Erewash,0.356764296,16627,46605,112081,1262,3948,102,1501,683,7496
Exeter,0.766271518,37168,48505,117773,1529,4605,167,1717,1308,9326
Falkirk,0.228288161,14184,62132,155990,2110,3771,253,183,1717,8034
Fareham,0.534080824,24674,46199,111581,955,2745,80,849,498,5127
Fenland,0.279522175,10015,35829,95262,1143,3265,90,1094,777,6369
Fife,0.100744987,13496,133962,365198,4406,9145,583,348,3366,17848
Flintshire,0.380590933,23817,62579,152506,1460,3951,110,1494,658,7673
Forest of Dean,0.200955499,6015,29932,81961,557,1519,49,472,196,2793
Fylde,0.771768792,21777,28217,75757,550,1600,43,641,296,3130
Gateshead,0.536682765,43006,80133,200214,1953,4776,117,1130,1300,9276
Glasgow City,0.80338942,165920,206525,593245,11604,29900,1385,2322,15791,61002
Gloucester,0.493801731,26131,52918,121688,1659,6002,162,1898,1041,10762
Gosport,0.219884084,7398,33645,82622,985,2932,83,1171,534,5705
Great Yarmouth,0.277664671,9274,33400,97277,1611,2732,160,1624,736,6863
Greenwich,0.418681795,39632,94659,254557,2674,11477,350,5217,2697,22415
Guildford,0.696280618,38489,55278,137183,1537,4914,76,1315,1194,9036
Gwynedd,0.276408191,11257,40726,121874,1527,3325,100,1549,861,7362
"Hackney, London",0.643735661,60609,94152,246270,2079,15875,354,5733,3861,27902
Halton,0.458897851,23100,50338,125746,1792,5062,109,1591,1185,9739
Hammersmith and Fulham,1.11511493,90331,81006,182493,1737,14215,203,4021,3250,23426
Harborough,0.566443692,19561,34533,85382,615,1727,49,436,365,3192
"Haringey, London",0.391015428,37306,95408,254926,2731,14555,332,5623,2670,25911
Harlow,0.470794118,16007,34000,81944,1031,3939,116,1492,837,7415
Harrow,0.31866973,28708,90087,239056,1421,7983,168,3220,1377,14169
Hart,0.496508174,18556,37373,91033,681,2185,56,568,310,3800
Hartlepool,0.260136604,8379,32210,92028,1575,3320,98,1347,849,7189
Hastings,0.249556089,8011,32101,90254,1526,3809,141,1283,721,7480
Havant,0.391425599,17685,45181,120684,1622,3498,145,1802,848,7915
"Havering, London",0.345987197,31781,91856,237232,1823,10211,193,3212,1863,17302
Herefordshire,0.160638156,10814,67319,183477,1637,4855,172,1804,1037,9505
Hertsmere,0.65432706,25276,38629,100031,864,3267,71,724,838,5764
High Peak,0.209215408,7669,36656,90892,879,1978,54,843,479,4233
Highland,0.041386122,3436,83023,232132,3042,4530,257,407,3448,11684
Hillingdon,0.907080845,97064,107007,273936,2637,12926,259,5555,2560,23937
Hinckley and Bosworth,0.355167197,15730,44289,105078,950,2850,78,793,562,5233
Horsham,0.327351715,16728,51101,131301,952,2785,71,752,447,5007
Hounslow,0.722731698,74239,102720,253957,2675,13201,278,5247,3367,24768
Huntingdonshire,0.280131236,20321,72541,169508,1498,4493,121,1242,748,8102
Hyndburn,0.414956442,12718,30649,80734,1054,2723,74,1028,462,5341
Inverclyde,0.221336814,6444,29114,81485,1497,2281,52,173,1501,5504
Ipswich,0.492712101,27516,55846,133384,2218,6840,241,2758,1645,13702
Isle of Anglesey,0.131237672,3127,23827,69751,694,1351,62,733,446,3286
Isle of Wight,0.045153831,2109,46707,138265,1703,3246,146,1917,1366,8378
Islington,1.503986987,132217,87911,206125,2022,16228,283,4864,3628,27025
Kensington and Chelsea,1.406411231,86957,61829,158649,1160,14215,179,2876,2336,20766
Kettering,0.357751234,13987,39097,93475,1166,3056,94,1328,474,6118
King's Lynn and West Norfolk,0.20714299,11101,53591,147451,1322,3265,127,1230,677,6621
Kingston upon Hull,0.395160301,38653,97816,256406,4334,15089,395,4542,3241,27601
Kingston upon Thames,0.543944825,35964,66117,160060,1164,6599,166,2230,1073,11232
Kirklees,0.213568615,34590,161962,422458,5471,18505,320,4439,2367,31102
Knowsley,0.573776014,30658,53432,145893,2257,4369,68,906,2183,9783
Lambeth,0.640081049,87188,136214,303086,2961,19612,508,8928,4984,36993
Lancaster,0.158233617,8159,51563,138375,1861,4375,158,1736,965,9095
Leeds,0.401669277,121323,302047,751485,10050,43670,624,9920,6181,70445
Leicester,0.562239692,67227,119570,329839,5258,17240,432,6514,3430,32874
Lewes,0.412232293,14417,34973,97502,1082,2297,77,684,398,4538
Lewisham,0.297861738,32875,110370,275885,2912,13634,435,6688,3503,27172
Lichfield,0.519953141,20417,39267,100654,757,2372,58,742,440,4369
Lincoln,0.666562516,25600,38406,93541,1811,6023,150,1660,974,10618
Liverpool,0.538725187,91322,169515,466415,7861,21242,555,5469,9083,44210
Luton,0.461877207,34402,74483,203201,2667,9425,153,3572,1438,17255
Maidstone,0.485514987,29999,61788,155143,1395,4983,129,1589,777,8873
Maldon,0.282991075,6532,23082,61629,394,1376,40,336,218,2364
Manchester,0.991880054,179810,181282,503127,7569,31017,818,10225,6693,56322
Mansfield,0.386943101,15920,41143,104466,1385,3361,102,1597,786,7231
Medway,0.218573884,22766,104157,263925,3224,8932,228,3177,1379,16940
Melton,0.293466329,6149,20953,50376,468,1285,26,430,237,2446
Mendip,0.283453664,11464,40444,109279,1246,3694,74,937,1012,6963
Merthyr Tydfil,0.397259638,8553,21530,58802,890,2111,50,550,540,4141
Merton,0.455886192,38423,84282,199693,1615,7971,183,2724,1664,14157
Mid Sussex,0.357161606,20410,57145,139860,996,3020,74,760,433,5283
Middlesbrough,0.64900548,30084,46354,138412,2885,7973,162,2680,1661,15361
Midlothian,0.340734153,11111,32609,83187,1232,2244,102,122,846,4546
Milton Keynes,0.420743233,44518,105808,248821,3157,11451,321,3643,2689,21261
Mole Valley,0.748334171,23809,31816,85375,603,1867,42,617,509,3638
Monmouthshire,0.395686954,13009,32877,91323,659,2250,59,509,652,4129
Moray,0.079513233,2692,33856,93295,1005,1880,158,78,715,3836
Neath Port Talbot,0.308830183,15700,50837,139812,1354,3526,79,1092,948,6999
New Forest,0.353909977,22778,64361,176462,1661,4907,109,1558,848,9083
Newark and Sherwood,0.396678334,17340,43713,114817,1159,3303,97,938,431,5928
Newcastle upon Tyne,0.878677402,90140,102586,280177,3838,12671,255,3101,3025,22890
Newcastle-under-Lyme,0.441811675,21480,48618,123871,1395,3225,105,1312,762,6799
Newham,0.482428741,49269,102127,307984,2533,17520,432,7812,3714,32011
Newport,0.546187552,30415,55686,145736,2168,7107,194,1876,2108,13453
North Ayrshire,0.211356535,9808,46405,138146,2634,4537,148,290,1769,9378
