Model,Beta,Beta_CI,BIC,P_Value,Param1,Param2,Param3,Param4
lognormal_delta_fixed,1.0720542694056276,0.054021362145340764,5325.530982452301,0.016220356704981405,0.004706030011885659,1.0720542694056276,0.08380145332956919,2.0
lognormal_delta_fixed_beta_fixed,1.0,0.0,5326.77295953712,0.0015410108186752263,0.011102546636971054,1.0,0.08557734251969064,2.0
lognormal_beta_fixed,1.0,0.0,5327.5149078390095,0.016164486346317595,0.011163036317498876,1.0,0.7387944926754824,1.707693722964558
lognormal,1.0603028049449084,0.05582019903742501,5328.348883239888,0.011540735292344678,0.005412799396839202,1.0603028049449084,0.4409329969617304,1.7744421227860534
gaussian_beta_fixed,1.0,0.0,5368.021523835527,1.2627855890959866e-05,0.011134770211637463,1.0,0.5058315299546411,0.9240707373175593
gaussian,1.0595476153775116,0.050967910831713224,5368.945847877121,4.1302845182285024e-05,0.005462791070024628,1.0595476153775116,0.7517643087661572,0.8700081395557054
gaussian_delta_fixed,1.0924199760803408,0.06840579443991654,5399.440800459864,5.327653520915764e-05,0.0036516460836898998,1.0924199760803408,12.304280431511918,0.5
gaussian_delta_fixed_beta_fixed,1.0,0.0,5408.77750054475,2.7812034398078357e-10,0.011335630225894611,1.0,12.367138229996522,0.5
person,1.06471092944721,0.06456486420817233,15721622.155113433,0.0,1.06471092944721,,,
person_beta_fixed,1.0,0.0,15722681.399237894,0.0,1.0,,,
