Model,Beta,Beta_CI,BIC,P_Value,Param1,Param2,Param3,Param4
lognormal_delta_fixed,0.10853999913447696,0.15151415555050227,5924.223271246685,0.0879989122478829,2180.8713807506942,0.10853999913447696,0.5507904244708661,2.0
lognormal,0.10745916602995047,0.10746316807962904,5927.123334497274,0.057515921855422446,2172.3979348638672,0.10745916602995047,1060.7930577172358,1.0
lognormal_beta_fixed,1.0,0.0,6084.154758996463,1.8493973945840924e-43,6733.197437248287,1.0,0.05751936742493997,2.3782507911877633
lognormal_delta_fixed_beta_fixed,1.0,0.0,6091.425087629687,3.069926199122244e-22,6124.0777863766925,1.0,1.0470487849569667,2.0
gaussian_delta_fixed,0.12998078918769762,0.21638734773841195,6206.120798325999,1.561850157654574e-50,2238.5308698904814,0.12998078918769762,34.98908554842647,0.5
gaussian,0.12001550895534184,0.19045639838939787,6209.915372093581,6.890624430211959e-49,2221.775038795541,0.12001550895534184,0.7850512007879112,1.0
gaussian_delta_fixed_beta_fixed,1.0,0.0,6371.577432941583,1.9022166149190597e-59,4422.117645766464,1.0,49.07746867502172,0.5
gaussian_beta_fixed,1.0,0.0,6377.44390113639,1.9047491533699966e-59,4422.273106222523,1.0,49.07665128839508,0.5
person,0.06839238151755735,0.11672333759457382,15996357.774411166,0.0,0.06839238151755735,,,
person_beta_fixed,1.0,0.0,16234827.210388657,0.0,1.0,,,
