Model,Beta,Beta_CI,BIC,P_Value,Param1,Param2,Param3,Param4
lognormal,0.7518818063445974,0.11315637911780199,5823.512159400472,3.5836830329438725e-06,0.9372705003368375,0.7518818063445974,14.403579376247308,1.5748701793220428
lognormal_delta_fixed,0.8366986580932234,0.0978368548012583,5827.73753833688,0.0023794544140490876,0.4027849640637974,0.8366986580932234,0.6342529108909929,2.0
lognormal_delta_fixed_beta_fixed,1.0,0.0,5836.5849976498175,0.00035170379896111036,0.080221602141019,1.0,0.6687793613489379,2.0
lognormal_beta_fixed,1.0,0.0,5841.690470601554,4.67691083875219e-05,0.07942317016502078,1.0,1.1199286193282365,1.9287629149339018
gaussian,0.7434086049459677,0.11412720826487509,5947.19471267825,1.5957981156289987e-28,0.9978144076799902,0.7434086049459677,5.122817459332695,0.7222020629039614
gaussian_delta_fixed,0.782748189061477,0.14386942184444174,5964.37547113192,1.1754512159389719e-18,0.6550712637817633,0.782748189061477,27.756542335574657,0.5
gaussian_beta_fixed,1.0,0.0,5987.806611695468,1.2628699795588832e-31,0.06800009039335111,1.0,14.097450472376819,0.6051375738872324
gaussian_delta_fixed_beta_fixed,1.0,0.0,5996.704764871131,7.55228833097851e-18,0.0640308080006992,1.0,31.815612651874698,0.5
person,0.7012730007760221,0.15062415803875734,15704558.182849014,0.0,0.7012730007760221,,,
person_beta_fixed,1.0,0.0,15770944.470721044,0.0,1.0,,,
