Model,Beta,Beta_CI,BIC,P_Value,Param1,Param2,Param3,Param4
lognormal,0.6936667408564349,0.08202697677967512,5541.535865482395,0.11513400530206618,0.6178819739806805,0.6936667408564349,27.293490120869578,1.4166235926045512
lognormal_delta_fixed,0.6372724861571042,0.09023580211873952,5550.518668151351,0.0767667687711504,1.1570486811459961,0.6372724861571042,0.46356720700839726,2.0
lognormal_beta_fixed,1.0,0.0,5605.178391633974,4.370653408096572e-23,0.021054400580481993,1.0,5.900377652105809,1.652051117840819
lognormal_delta_fixed_beta_fixed,1.0,0.0,5625.64555857921,1.3340909922775033e-16,0.023326390755633416,1.0,0.6146284790472875,2.0
gaussian_delta_fixed,0.7453479841925563,0.16384462243500397,5749.550643390301,7.047534699134505e-48,0.34453889383912234,0.7453479841925563,23.835813229652906,0.5
gaussian,0.7430275897920252,0.152588311129199,5755.402917023947,4.24531056028214e-48,0.3538408326176771,0.7430275897920252,22.938022246102545,0.505340417823952
gaussian_delta_fixed_beta_fixed,1.0,0.0,5811.622706307763,8.966733248098055e-58,0.017871835591705663,1.0,28.767828656963623,0.5
gaussian_beta_fixed,1.0,0.0,5817.489174364744,8.966718963090715e-58,0.017871835184906253,1.0,28.767823197689115,0.5
person,0.7432920305535862,0.14998295034506195,11211190.005187806,0.0,0.7432920305535862,,,
person_beta_fixed,1.0,0.0,11246878.755645296,0.0,1.0,,,
