Model,Beta,Beta_CI,BIC,P_Value,Param1,Param2,Param3,Param4
lognormal_delta_fixed,1.2201420918815529,0.09918659701053767,5348.071356435079,0.6217921264555002,0.0005460324791041721,1.2201420918815529,0.2394109476805474,2.0
lognormal,1.2277370931996656,0.11222652194760313,5353.4939471837615,0.7933998308877872,0.0004988682950777571,1.2277370931996656,0.14103936970522177,2.0753253589415266
lognormal_delta_fixed_beta_fixed,1.0,0.0,5366.479698353286,4.738957256261528e-05,0.00755714728717823,1.0,0.25850149355207036,2.0
lognormal_beta_fixed,1.0,0.0,5371.980947389142,1.5980623770470446e-05,0.007601251155575462,1.0,0.47948596205121374,1.9126946081241876
gaussian,1.299880640535571,0.14536979940576206,5512.045392253664,4.32935960756819e-51,0.00021211729029211015,1.299880640535571,0.5188307610973426,1.0
gaussian_beta_fixed,1.0,0.0,5564.218718308714,2.0157707408206225e-64,0.0075906156112738685,1.0,0.5584370729728154,1.0
gaussian_delta_fixed,1.4123665078529986,0.2133465680614479,5634.733552052561,3.715812505788157e-58,5.113813885957184e-05,1.4123665078529986,21.61655673082727,0.5
gaussian_delta_fixed_beta_fixed,1.0,0.0,5702.540842384058,8.62344841380642e-74,0.008213184077261631,1.0,22.02644277188296,0.5
person,1.2040103567688567,0.15069292326094397,11181249.638958203,0.0,1.2040103567688567,,,
person_beta_fixed,1.0,0.0,11189066.714970093,0.0,1.0,,,
