Model,Beta,Beta_CI,BIC,P_Value,Param1,Param2,Param3,Param4
gaussian_beta_fixed,1.0,0.0,5871.173347891852,0.276427521514828,0.38621446091886513,1.0,0.17679516450555002,0.9214036082045813
lognormal_delta_fixed_beta_fixed,1.0,0.0,5876.654975512638,0.0005826389355329795,0.3862218645427419,1.0,0.006000591431682509,2.0
gaussian,0.9984110201331844,0.019548339477762886,5876.8542603424485,0.2578256918725463,0.39351746938494875,0.9984110201331844,0.18409061041833522,0.9176441909172901
lognormal_beta_fixed,1.0,0.0,5879.752407893627,0.009541412268352034,0.38621702763457305,1.0,0.05473079145405472,1.794331996655688
lognormal_delta_fixed,1.0030632195555405,0.019272452502272303,5882.23084751973,0.0008721854586257656,0.37257700605911287,1.0030632195555405,0.005997844238872336,2.0
lognormal,0.9967713894019286,0.02127706043487071,5885.3336558905485,0.009974136679060233,0.4012206079300906,0.9967713894019286,0.07100622429755418,1.7701850280637532
gaussian_delta_fixed,0.9800484446340743,0.027037459328796212,5910.019339899923,1.936003236280643e-06,0.48975555973843937,0.9800484446340743,17.752745245701053,0.5
gaussian_delta_fixed_beta_fixed,1.0,0.0,5913.079489519597,4.486759447434601e-06,0.38479147702081856,1.0,18.073541297878133,0.5
person,0.9779687163695768,0.024459541083775155,384305325.7746924,0.0,0.9779687163695768,,,
person_beta_fixed,1.0,0.0,384308843.59642655,0.0,1.0,,,
