Model,Beta,Beta_CI,BIC,P_Value,Param1,Param2,Param3,Param4
lognormal_delta_fixed,0.4762378202003152,0.07728606674595151,5746.32384505607,0.773256613546655,15.729536594803264,0.4762378202003152,0.3035223237084893,2.0
lognormal,0.48211685697656376,0.07474919983770385,5751.262569708326,0.6059226484583764,14.833224222547766,0.48211685697656376,0.09088121787363407,2.1605796377600224
gaussian,0.49068456213497674,0.08766271032232002,5900.508470133726,2.93801245692149e-30,13.633222650541649,0.49068456213497674,1.201419434301643,0.8971657974161021
gaussian_delta_fixed,0.5803147729566065,0.13274478038799806,5920.908988368882,9.478193482742232e-21,5.406222843076399,0.5803147729566065,24.85956846625345,0.5
lognormal_delta_fixed_beta_fixed,1.0,0.0,5950.165568968009,2.4124226180557494e-23,0.0957663813658451,1.0,0.6162932371698826,2.0
lognormal_beta_fixed,1.0,0.0,5955.361661989962,1.0698067778474268e-25,0.09739136848241917,1.0,0.45177722227540623,2.0427249163658665
gaussian_delta_fixed_beta_fixed,1.0,0.0,6062.454071548171,3.336094727074564e-31,0.06327940007922576,1.0,35.12765389709165,0.5
gaussian_beta_fixed,1.0,0.0,6068.153001320119,3.9719670741580246e-32,0.06392809694762622,1.0,32.48767302694782,0.51011668080981
person,0.5005225729398002,0.14328995058420751,15864174.164929705,0.0,0.5005225729398002,,,
person_beta_fixed,1.0,0.0,16027075.833958674,0.0,1.0,,,
