Model,Beta,Beta_CI,BIC,P_Value,Param1,Param2,Param3,Param4
lognormal_delta_fixed,1.1268358352524186,0.0862709915935009,3768.215028221758,0.8097340596071866,0.000599086999705554,1.1268358352524186,0.16220340458548996,2.0
lognormal,1.115111083785349,0.0953424457796804,3769.1568699121226,0.8883028188287949,0.0006807256196233682,1.115111083785349,0.4854057712692735,1.7739950724561309
lognormal_beta_fixed,1.0,0.0,3773.183183523479,0.004060172146148796,0.0024327104804086654,1.0,0.751982918632214,1.6941983550579525
lognormal_delta_fixed_beta_fixed,1.0,0.0,3774.2390002569614,0.008108158961590404,0.002408042717894422,1.0,0.16821702336940783,2.0
gaussian,1.117371009051776,0.08178598872904821,3858.0572079270773,1.4654635084274345e-19,0.0006644295115022568,1.117371009051776,0.816374036279499,0.8574706648282172
gaussian_beta_fixed,1.0,0.0,3861.0009008822553,2.8383056454491412e-21,0.0024101979910882173,1.0,0.4393358226604197,0.9853272414333216
gaussian_delta_fixed,1.214600726902789,0.12923322294106568,3904.495992989882,1.7888149704946052e-22,0.00022126309766291755,1.214600726902789,5.1865333555225215,0.5
gaussian_delta_fixed_beta_fixed,1.0,0.0,3937.529569406997,3.9865842834099436e-41,0.002510785574408667,1.0,5.266743852227446,0.5
person,1.1312162350043096,0.11489398596692606,1332359.5339473323,0.0,1.1312162350043096,,,
person_beta_fixed,1.0,0.0,1332706.6039224998,0.0,1.0,,,
