Model,Beta,Beta_CI,BIC,P_Value,Param1,Param2,Param3,Param4
lognormal_delta_fixed,1.2873531887277774,0.06988378356800745,6237.122650997411,0.00017475658397979262,0.003723632835594009,1.2873531887277774,0.1306885708114539,2.0
lognormal,1.3055580991006577,0.09128533134055723,6241.764879238203,0.002642090542868568,0.0030513649868024757,1.3055580991006577,0.05043108172382398,2.111621155236129
lognormal_delta_fixed_beta_fixed,1.0,0.0,6300.0695775476515,1.0183056248507072e-13,0.08768671620478763,1.0,0.16097787833558996,2.0
lognormal_beta_fixed,1.0,0.0,6300.460964976367,4.722204841315428e-17,0.089695560312368,1.0,1.6992542183065447,1.7247099673179072
gaussian,1.380385537721097,0.16039109037691865,6407.657763156566,6.451396287789452e-71,0.001350682510128591,1.380385537721097,0.4143390655537572,1.0
gaussian_beta_fixed,1.0,0.0,6498.952500160956,1.4293324345485843e-89,0.08806253337590213,1.0,0.46928848478848406,1.0
gaussian_delta_fixed,1.350981091275911,0.1503912156155746,6543.086700831339,4.797385940619619e-88,0.0017929077087874153,1.350981091275911,36.26494249847086,0.5
gaussian_delta_fixed_beta_fixed,1.0,0.0,6610.940688384481,7.255571316110397e-94,0.09605396075328045,1.0,37.560638910356744,0.5
person,1.2298679797209766,0.06955237899178418,50581464.42860663,0.0,1.2298679797209766,,,
person_beta_fixed,1.0,0.0,50623666.928318165,0.0,1.0,,,
