Model,Beta,Beta_CI,BIC,P_Value,Param1,Param2,Param3,Param4
lognormal_delta_fixed,0.7809650368123571,0.06368712422648666,6405.971948890507,0.3120255245623621,1.0272400499478553,0.7809650368123571,0.21916247909804526,2.0
lognormal,0.784108663833903,0.06236647422705386,6409.734284881444,0.570276662283177,0.9919770068911358,0.784108663833903,0.9870639068321125,1.8229592628623807
lognormal_delta_fixed_beta_fixed,1.0,0.0,6458.755904392162,1.6870137817783083e-07,0.09610148295478867,1.0,0.26362161844091303,2.0
lognormal_beta_fixed,1.0,0.0,6460.454179465723,1.6744515192219078e-06,0.09403719044748318,1.0,0.7606121514084027,1.8718136510053347
gaussian,0.7929533354517168,0.07183939787683548,6523.501595175004,2.4578452289358857e-22,0.9002748991664914,0.7929533354517168,2.431891413410582,0.8081686361287489
gaussian_delta_fixed,0.8179588042894295,0.12614066332469198,6560.867331260864,2.612913525374734e-17,0.6724302545477105,0.8179588042894295,36.24661129945916,0.5
gaussian_beta_fixed,1.0,0.0,6567.426261895178,1.4300386673183825e-23,0.08670383498917698,1.0,8.558162550708035,0.6756703506515714
gaussian_delta_fixed_beta_fixed,1.0,0.0,6602.502157629302,2.8011835065475444e-20,0.08050696836779818,1.0,41.55113310635284,0.5
person,0.7642734527426369,0.1369498683035554,50653530.81213121,0.0,0.7642734527426369,,,
person_beta_fixed,1.0,0.0,50791040.11605997,0.0,1.0,,,
