Model,Beta,Beta_CI,BIC,P_Value,Param1,Param2,Param3,Param4
lognormal_delta_fixed,1.2899708094877165,0.07560986699855507,6253.92475098281,0.0001552205282137708,0.001061184608740115,1.2899708094877165,0.13748540722143707,2.0
lognormal,1.3150743460408663,0.09417746487613406,6258.395274562149,0.0020597220208281503,0.0007873806295019495,1.3150743460408663,0.0473457440457788,2.1249161187160017
lognormal_beta_fixed,1.0,0.0,6312.908221552639,6.657055480570753e-17,0.034778296570497684,1.0,2.5723639686836806,1.6811589648121896
lognormal_delta_fixed_beta_fixed,1.0,0.0,6314.118309769382,1.0810408437212817e-13,0.033905427920507485,1.0,0.16803497833108466,2.0
gaussian,1.3942725360285946,0.18517014791499856,6433.558937287152,3.374433376984703e-75,0.0003081400878373466,1.3942725360285946,0.4283948283072955,1.0
gaussian_beta_fixed,1.0,0.0,6518.806671308012,2.6402177800279624e-93,0.03404729746757842,1.0,0.4812615264425406,1.0
gaussian_delta_fixed,1.3191639622665634,0.13766477976670788,6566.687198791942,2.6307554533096284e-90,0.0007301001421464578,1.3191639622665634,37.2969098113296,0.5
gaussian_delta_fixed_beta_fixed,1.0,0.0,6621.112961785723,5.059983345315189e-97,0.0369977894198429,1.0,38.12150709663906,0.5
person,1.2012828665307402,0.07607870037856379,50595622.60784687,0.0,1.2012828665307402,,,
person_beta_fixed,1.0,0.0,50629934.86058907,0.0,1.0,,,
