Model,Beta,Beta_CI,BIC,P_Value,Param1,Param2,Param3,Param4
lognormal_delta_fixed,1.195362542790855,0.09901036486968874,5367.079796173131,0.6375098924483091,0.002305385167805128,1.195362542790855,0.25423308988032317,2.0
lognormal,1.1978963524129602,0.09679948456554846,5372.8510942942285,0.7150753928121025,0.002242267376326739,1.1978963524129602,0.1985799389167498,2.035171491637132
lognormal_delta_fixed_beta_fixed,1.0,0.0,5379.761234209535,0.00056529634633813,0.019690314278394776,1.0,0.2696447550871707,2.0
lognormal_beta_fixed,1.0,0.0,5385.351963026738,0.0002489176595409165,0.0197798793354518,1.0,0.45947073488605283,1.9246654679052204
gaussian,1.2566569547023378,0.14156351424511368,5533.553231453487,1.561919964424183e-45,0.0011825513016793842,1.2566569547023378,0.5317005372925298,1.0
gaussian_beta_fixed,1.0,0.0,5573.989026414103,3.916313503588658e-58,0.019776267823396223,1.0,0.5637640355404515,1.0
gaussian_delta_fixed,1.4325960679497363,0.2319830748212385,5643.196379909672,9.23384545447393e-55,0.00015671808681042452,1.4325960679497363,21.93526636367671,0.5
gaussian_delta_fixed_beta_fixed,1.0,0.0,5714.433134364878,1.8003719872098465e-72,0.021323131883842075,1.0,22.391354039845236,0.5
person,1.2150986786718114,0.14450387911198842,11185784.670698714,0.0,1.2150986786718114,,,
person_beta_fixed,1.0,0.0,11193972.771871543,0.0,1.0,,,
