Model,Beta,Beta_CI,BIC,P_Value,Param1,Param2,Param3,Param4
gaussian_beta_fixed,1.0,0.0,6337.666519110012,0.07138592276153861,0.19272904636527377,1.0,0.33019379143233407,0.9989703464041847
gaussian,0.9905519158897255,0.0930599469712351,6343.251760537453,0.07651849632832286,0.215336070287853,0.9905519158897255,0.3267151089377261,1.0
lognormal_delta_fixed_beta_fixed,1.0,0.0,6348.045079667737,0.00025916921469588044,0.19360962618148483,1.0,0.13499772732123522,2.0
lognormal_beta_fixed,1.0,0.0,6349.542092955034,0.02097130993199872,0.19394896766124978,1.0,0.00956487069143593,2.260833625231891
lognormal_delta_fixed,0.9688910605680925,0.10262584906431041,6353.073990118969,0.00024335888832429918,0.27893219941942304,0.9688910605680925,0.13467279156960063,2.0
lognormal,0.9595229732244831,0.11025615421789467,6354.155119664037,0.005025290781047826,0.3109442330828731,0.9595229732244831,0.0070658648574392,2.2902230729895914
gaussian_delta_fixed,1.1259865897452692,0.07016822367889877,6394.481662112158,0.0012370279745797213,0.042426776789338705,1.1259865897452692,56.80624267432013,0.5
gaussian_delta_fixed_beta_fixed,1.0,0.0,6410.191253136835,0.0005694106019680229,0.19535752266256937,1.0,57.4550016248074,0.5
person,1.081207369948918,0.09632389614276027,192532188.37429532,0.0,1.081207369948918,,,
person_beta_fixed,1.0,0.0,192557190.09351933,0.0,1.0,,,
