Model,Beta,Beta_CI,BIC,P_Value,Param1,Param2,Param3,Param4
lognormal,0.5748161409728535,0.08831528615139367,4035.0544445172313,0.7788625641729909,0.28167086067909847,0.5748161409728535,3.1902174845781675,1.5687221761845467
lognormal_delta_fixed,0.5601284796352108,0.1034081255658672,4037.8584922415316,0.227688518380632,0.33215383641048274,0.5601284796352108,0.38083516887842517,2.0
lognormal_beta_fixed,1.0,0.0,4158.76973028109,1.6535123023250204e-19,0.002775757154860151,1.0,1.3191060817066216,1.8222651055579688
lognormal_delta_fixed_beta_fixed,1.0,0.0,4162.582045894453,1.3343872928551764e-25,0.0029562449105114573,1.0,0.5954258251907297,2.0
gaussian_delta_fixed,0.6367930438360694,0.13581942805491906,4207.553741583716,1.9050663634444222e-35,0.14031662958326802,0.6367930438360694,7.596965451018255,0.5
gaussian,0.609223734108165,0.1281204796305175,4211.511860276984,3.040111343574836e-37,0.1919173252407489,0.609223734108165,5.031984012569269,0.580755758588622
gaussian_delta_fixed_beta_fixed,1.0,0.0,4328.68855981273,2.093075905357882e-41,0.0021043966842952387,1.0,10.261331893622812,0.5
gaussian_beta_fixed,1.0,0.0,4334.555027869768,2.0931199127153262e-41,0.002104397300342868,1.0,10.261327179006352,0.5
person,0.614482392616331,0.13288208307384275,1340866.1801443219,0.0,0.614482392616331,,,
person_beta_fixed,1.0,0.0,1349588.1688994083,0.0,1.0,,,
