Model,Beta,Beta_CI,BIC,P_Value,Param1,Param2,Param3,Param4
lognormal_delta_fixed,1.2270952161138977,0.06360173951286727,6637.635386947111,0.012662625468865043,0.013731399777724234,1.2270952161138977,0.10851683055743169,2.0
lognormal,1.244261354760993,0.07809047024851308,6641.46041862586,0.11526214791419301,0.011381267040348192,1.244261354760993,0.02599328522370916,2.155638558116494
lognormal_delta_fixed_beta_fixed,1.0,0.0,6684.252045445924,5.245192747883383e-10,0.1663531175213988,1.0,0.12697596745433817,2.0
lognormal_beta_fixed,1.0,0.0,6688.617766849746,1.0619318742366413e-11,0.1680993730097479,1.0,0.5128634528427969,1.8483391468334853
gaussian,1.2851684092571283,0.1086335274227653,6758.470415593351,2.647869131242123e-52,0.007287882527198404,1.2851684092571283,0.35795285183316644,1.0
gaussian_beta_fixed,1.0,0.0,6827.279996426068,2.786182037444555e-67,0.1667937986151399,1.0,0.3944765400508204,1.0
gaussian_delta_fixed,1.2766155667312726,0.09995499674386961,6875.566175202638,5.21063211688309e-67,0.007798952635428404,1.2766155667312726,41.836721148030676,0.5
gaussian_delta_fixed_beta_fixed,1.0,0.0,6933.893291245631,1.347867910666931e-73,0.17909665942844313,1.0,43.4620870713871,0.5
person,1.191151609101123,0.06108505949656803,94725744.43230361,0.0,1.191151609101123,,,
person_beta_fixed,1.0,0.0,94780074.10569865,0.0,1.0,,,
