Model,Beta,Beta_CI,BIC,P_Value,Param1,Param2,Param3,Param4
lognormal_delta_fixed,1.1517780913662439,0.08831452669554038,3739.625025255541,0.6725420707486204,0.00015119004331290642,1.1517780913662439,0.14863894609150563,2.0
lognormal,1.1360668717849645,0.08903648420867846,3741.918660372404,0.715452678150807,0.0001822386729891805,1.1360668717849645,0.3747911271523576,1.8096248304088667
lognormal_beta_fixed,1.0,0.0,3750.310771746234,9.044294361205278e-05,0.0009356335898814597,1.0,0.7495831663683058,1.681056372867229
lognormal_delta_fixed_beta_fixed,1.0,0.0,3751.779738957092,0.00034546095105570263,0.0009238524656642805,1.0,0.1570741143012357,2.0
gaussian,1.1368586636785725,0.09311292418216649,3831.7900197282374,1.1017540128115755e-20,0.00018068875334998954,1.1368586636785725,0.6600850724516254,0.8940752217927022
gaussian_beta_fixed,1.0,0.0,3839.3702361156547,2.0826953648010415e-23,0.0009240012005109843,1.0,0.3986051823765578,1.0
gaussian_delta_fixed,1.2036794131797437,0.13894570476749057,3889.7728916071233,6.404489661468698e-23,7.932678918560049e-05,1.2036794131797437,5.0750675741452875,0.5
gaussian_delta_fixed_beta_fixed,1.0,0.0,3920.9403536713357,1.9790630677244096e-40,0.0009670964241264669,1.0,5.146558268982402,0.5
person,1.1221740530615092,0.09727539719977249,1331943.4089715667,0.0,1.1221740530615092,,,
person_beta_fixed,1.0,0.0,1332260.4849541623,0.0,1.0,,,
