Model,Beta,Beta_CI,BIC,P_Value,Param1,Param2,Param3,Param4
lognormal_delta_fixed_beta_fixed,1.0,0.0,5367.7341686637765,0.03596080577085377,0.028946561451324515,1.0,0.09660037493958401,2.0
lognormal_beta_fixed,1.0,0.0,5369.702870450299,0.11631279340876843,0.029034705875335427,1.0,0.6413433536511859,1.743397240346348
lognormal_delta_fixed,1.0475278854561119,0.06204463945259122,5370.820818143805,0.07905915836880686,0.017197565176642806,1.0475278854561119,0.09580758501173801,2.0
lognormal,1.0398118768244458,0.061227972418718385,5373.581440490945,0.1185216256433831,0.018710788370040306,1.0398118768244458,0.5128483886447434,1.7722326047619414
gaussian_beta_fixed,1.0,0.0,5423.609690287774,7.5107832117311e-08,0.029022899702320012,1.0,0.6220338640209508,0.9061877717177996
gaussian,1.0400221231724844,0.06251299368950264,5427.611703184144,7.001537354900419e-08,0.018676145260282856,1.0400221231724844,0.8603758728800539,0.8623573764698074
gaussian_delta_fixed,1.0960879333282754,0.0821789556819596,5453.672035644316,2.8768629213196725e-09,0.009938503874347348,1.0960879333282754,13.286283731399893,0.5
gaussian_delta_fixed_beta_fixed,1.0,0.0,5461.665897078873,2.8204522951453915e-14,0.029429656849665104,1.0,13.323673450477708,0.5
person,1.0653136308620887,0.07666164322106794,15729380.430650957,0.0,1.0653136308620887,,,
person_beta_fixed,1.0,0.0,15730403.625295565,0.0,1.0,,,
