Model,Beta,Beta_CI,BIC,P_Value,Param1,Param2,Param3,Param4
lognormal_delta_fixed,0.5035814861209482,0.07568591227604343,5730.639536978033,0.7430771940029894,7.372933023448797,0.5035814861209482,0.2885922596110997,2.0
lognormal,0.5093948721994939,0.07822590249507538,5735.301570997825,0.47896009681033036,6.918379577335085,0.5093948721994939,0.07701241447332377,2.1759699948385505
gaussian,0.519770969458414,0.10367556708732131,5875.274437126717,6.969640198615425e-30,6.179401175793299,0.519770969458414,1.3098838454571025,0.8816309790621794
gaussian_delta_fixed,0.6009984452626873,0.1173116535596469,5896.8962381302945,3.268721354127869e-19,2.4703705117231753,0.6009984452626873,24.083500104876602,0.5
lognormal_delta_fixed_beta_fixed,1.0,0.0,5917.363483860691,2.209809400135977e-22,0.03613939178837173,1.0,0.5488761446852072,2.0
lognormal_beta_fixed,1.0,0.0,5922.540357148635,2.3435938657285598e-24,0.03668730326005605,1.0,0.4033198483571378,2.0422920831900173
gaussian_delta_fixed_beta_fixed,1.0,0.0,6029.397321453323,3.796377735139425e-30,0.024666266545345934,1.0,33.33523148078863,0.5
gaussian_beta_fixed,1.0,0.0,6033.476417556836,1.22618555160482e-32,0.02545705562284296,1.0,25.645843338633355,0.5337486851747865
person,0.523530584511439,0.14209232368224403,15854507.839796316,0.0,0.523530584511439,,,
person_beta_fixed,1.0,0.0,16002756.16294069,0.0,1.0,,,
