CSP Name,Criminal damage and arson,Drug offences,Fraud offences,Miscellaneous crimes against society,Possession of weapons offences,Public order offences,Robbery,Sexual offences,Theft offences,Violence against the person,Total
West Somerset,382,95,21,16,7,114,2,32,728,297,1694
Western Suffolk,3463,696,395,251,82,1000,51,274,8866,3029,18107
Westminster City of London,2637,7343,2031,687,262,2224,2115,641,47388,7106,72434
Wigan,3876,729,211,200,121,586,169,191,9304,2589,17976
Wiltshire,4285,709,367,155,70,496,87,335,11493,3387,21384
Winchester,1088,407,165,60,22,255,18,75,3090,974,6154
Windsor and Maidenhead,1451,401,205,120,41,394,109,106,6513,1340,10680
Wirral,2813,1715,127,151,128,779,117,273,6928,2136,15167
Woking,1019,506,92,63,35,323,39,47,2530,1089,5743
Wokingham,961,266,105,66,14,192,46,52,3349,709,5760
Wolverhampton,2758,808,190,212,164,500,724,257,9338,3145,18096
Worthing,1413,272,210,63,47,208,54,107,3595,1198,7167
Wrexham,2224,435,142,182,71,584,48,125,5332,2114,11257
Wycombe,1622,426,223,126,44,373,177,134,5381,1526,10032
Wyre,1085,257,85,46,18,135,22,88,2462,1028,5226
Wyre Forest,1320,263,156,66,50,249,38,106,3590,1460,7298
