Local Authority,Population,
Eastleigh,"125,199",
Fareham,"111,581",
Gosport,"82,622",
Hart,"91,033",
Havant,"120,684",
New Forest,"176,462",
Rushmoor,"93,807",
Test Valley,"116,398",
Winchester,"116,595",
Ashford,"117,956",
Canterbury,"151,145",
Dartford,"97,365",
Dover,"111,674",
Gravesham,"101,720",
Maidstone,"155,143",
Sevenoaks,"114,893",
Shepway,"107,969",
Swale,"135,835",
Thanet,"134,186",
Tonbridge and Malling,"120,805",
Tunbridge Wells,"115,049",
Cherwell,"141,868",
Oxford,"151,906",
South Oxfordshire,"134,257",
Vale of White Horse,"120,988",
West Oxfordshire,"104,779",
Elmbridge,"130,875",
Epsom and Ewell,"75,102",
Guildford,"137,183",
Mole Valley,"85,375",
Reigate and Banstead,"137,835",
Runnymede,"80,510",
Spelthorne,"95,598",
Surrey Heath,"86,144",
Tandridge,"82,998",
Waverley,"121,572",
Woking,"99,198",
Adur,"61,182",
Arun,"149,518",
Chichester,"113,794",
Crawley,"106,597",
Horsham,"131,301",
Mid Sussex,"139,860",
Worthing,"104,640",
Bath and North East Somerset UA,"176,016",
Bournemouth UA,"183,491",
"Bristol, City of UA","428,234",
Cornwall UA,"535,476",
North Somerset UA,"202,566",
Plymouth UA,"256,384",
Poole UA,"147,645",
South Gloucestershire UA,"262,767",
Swindon UA,"209,156",
Torbay UA,"130,959",
Wiltshire UA,"470,981",
East Devon,"132,457",
Exeter,"117,773",
Mid Devon,"77,750",
North Devon,"93,667",
South Hams,"83,140",
Teignbridge,"124,220",
Torridge,"63,839",
West Devon,"53,553",
Christchurch,"47,752",
East Dorset,"87,166",
North Dorset,"68,583",
Purbeck,"44,973",
West Dorset,"99,264",
Weymouth and Portland,"65,167",
Cheltenham,"115,732",
Cotswold,"82,881",
Forest of Dean,"81,961",
Gloucester,"121,688",
Stroud,"112,779",
Tewkesbury,"81,943",
Mendip,"109,279",
Sedgemoor,"114,588",
South Somerset,"161,243",
Taunton Deane,"110,187",
West Somerset,"34,675",
Isle of Anglesey,"69,751",
Gwynedd,"121,874",
Conwy,"115,228",
Denbighshire,"93,734",
Flintshire,"152,506",
Wrexham,"134,844",
Powys,"132,976",
Ceredigion,"75,922",
Pembrokeshire,"122,439",
Carmarthenshire,"183,777",
Swansea,"239,023",
Neath Port Talbot,"139,812",
Bridgend ,"139,178",
The Vale of Glamorgan,"126,336",
Cardiff,"346,090",
Rhondda Cynon Taf,"234,410",
Merthyr Tydfil,"58,802",
Caerphilly,"178,806",
Blaenau Gwent,"69,814",
Torfaen,"91,075",
Monmouthshire,"91,323",
Newport,"145,736",
Aberdeen City,"222,793",
Aberdeenshire,"252,973",
Angus,"115,978",
Argyll & Bute,"88,166",
Clackmannanshire,"51,442",
Dumfries & Galloway,"151,324",
Dundee City,"147,268",
East Ayrshire,"122,767",
East Dunbartonshire,"105,026",
East Lothian,"99,717",
East Renfrewshire,"90,574",
"Edinburgh, City of","476,626",
Eilean Siar,"27,684",
Falkirk,"155,990",
Fife,"365,198",
Glasgow City,"593,245",
Highland,"232,132",
Inverclyde,"81,485",
Midlothian,"83,187",
Moray,"93,295",
North Ayrshire,"138,146",
North Lanarkshire,"337,727",
Orkney Islands,"21,349",
Perth & Kinross,"146,652",
Renfrewshire,"174,908",
Scottish Borders,"113,870",
Shetland Islands,"23,167",
South Ayrshire,"112,799",
South Lanarkshire,"313,830",
Stirling,"90,247",
West Dunbartonshire,"90,720",
West Lothian,"175,118",
Antrim,"53,428",
Ards,"78,078",
Armagh,"59,340",
Ballymena,"64,044",
Ballymoney,"31,224",
Banbridge,"48,339",
Belfast,"280,962",
Carrickfergus,"39,114",
Castlereagh,"67,242",
Coleraine,"59,067",
Cookstown,"37,013",
Craigavon,"93,023",
Derry,"107,877",
Down,"69,731",
Dungannon,"57,852",
Fermanagh,"61,805",
Larne,"32,180",
Limavady,"33,536",
Lisburn,"120,165",
Magherafelt,"45,038",
Moyle,"17,050",
Newry and Mourne,"99,480",
Newtownabbey,"85,139",
North Down,"78,937",
Omagh,"51,356",
Strabane,"39,843",
